#       k       Tk (normalised)     
  1.05124E-5   1.0                 
  1.06181E-5   1.0                 
  1.07248E-5   1.0                 
  1.08326E-5   1.0                 
  1.09414E-5   1.0                 
  1.10514E-5   1.0                 
  1.11625E-5   1.0                 
  1.12746E-5   1.0                 
  1.13879E-5   1.0                 
  1.15024E-5   1.0                 
  1.1618E-5    1.0                 
  1.17348E-5   1.0                 
  1.18527E-5   1.0                 
  1.19718E-5   1.0                 
  1.20921E-5   1.0                 
  1.22137E-5   1.0                 
  1.23364E-5   1.0                 
  1.24604E-5   1.0                 
  1.25856E-5   1.0                 
  1.27121E-5   1.0                 
  1.28399E-5   1.0                 
  1.29689E-5   1.0                 
  1.30993E-5   1.0                 
  1.32309E-5   1.0                 
  1.33639E-5   1.0                 
  1.34982E-5   1.0                 
  1.36338E-5   1.0                 
  1.37709E-5   1.0                 
  1.39093E-5   1.0                 
  1.40491E-5   1.0                 
  1.41903E-5   1.0                 
  1.43329E-5   1.0                 
  1.44769E-5   1.0                 
  1.46224E-5   1.0                 
  1.47694E-5   1.0                 
  1.49178E-5   1.0                 
  1.50677E-5   1.0                 
  1.52192E-5   1.0                 
  1.53721E-5   1.0                 
  1.55266E-5   1.0                 
  1.56827E-5   1.0                 
  1.58403E-5   1.0                 
  1.59995E-5   1.0                 
  1.61603E-5   0.9999949692115748  
  1.63227E-5   0.9999949692115748  
  1.64867E-5   0.9999949692115748  
  1.66524E-5   0.9999949692115748  
  1.68198E-5   0.9999949692115748  
  1.69888E-5   0.9999949692115748  
  1.71596E-5   0.9999949692115748  
  1.7332E-5    0.9999949692115748  
  1.75062E-5   0.9999949692115748  
  1.76821E-5   0.9999949692115748  
  1.78599E-5   0.9999949692115748  
  1.80394E-5   0.9999949692115748  
  1.82206E-5   0.9999949692115748  
  1.84038E-5   0.9999949692115748  
  1.85887E-5   0.9999949692115748  
  1.87756E-5   0.9999949692115748  
  1.89642E-5   0.9999949692115748  
  1.91548E-5   0.9999949692115748  
  1.93474E-5   0.9999949692115748  
  1.95418E-5   0.9999949692115748  
  1.97382E-5   0.9999949692115748  
  1.99366E-5   0.9999949692115748  
  2.01369E-5   0.9999949692115748  
  2.03393E-5   0.9999949692115748  
  2.05437E-5   0.9999949692115748  
  2.07502E-5   0.9999949692115748  
  2.09587E-5   0.9999949692115748  
  2.11694E-5   0.9999949692115748  
  2.13821E-5   0.9999949692115748  
  2.1597E-5    0.9999949692115748  
  2.18141E-5   0.9999949692115748  
  2.20333E-5   0.9999949692115748  
  2.22548E-5   0.9999949692115748  
  2.24784E-5   0.9999949692115748  
  2.27043E-5   0.9999949692115748  
  2.29325E-5   0.9999949692115748  
  2.3163E-5    0.9999949692115748  
  2.33958E-5   0.9999949692115748  
  2.36309E-5   0.9999949692115748  
  2.38684E-5   0.9999949692115748  
  2.41083E-5   0.9999949692115748  
  2.43506E-5   0.9999949692115748  
  2.45953E-5   0.9999949692115748  
  2.48425E-5   0.9999949692115748  
  2.50922E-5   0.9999949692115748  
  2.53443E-5   0.9999949692115748  
  2.55991E-5   0.9999899384231496  
  2.58563E-5   0.9999899384231496  
  2.61162E-5   0.9999899384231496  
  2.63787E-5   0.9999899384231496  
  2.66438E-5   0.9999899384231496  
  2.69115E-5   0.9999899384231496  
  2.7182E-5    0.9999899384231496  
  2.74552E-5   0.9999899384231496  
  2.77311E-5   0.9999899384231496  
  2.80098E-5   0.9999899384231496  
  2.82913E-5   0.9999899384231496  
  2.85757E-5   0.9999899384231496  
  2.88629E-5   0.9999899384231496  
  2.91529E-5   0.9999899384231496  
  2.94459E-5   0.9999899384231496  
  2.97419E-5   0.9999899384231496  
  3.00408E-5   0.9999899384231496  
  3.03427E-5   0.9999899384231496  
